requirement_id,requirement_text,module,coverage_id,suite_id,suite_name,coverage_description,coverage_type,related_techniques,tags,notes,technique,technique_standard,test_case_id,test_data,expected_result,priority,risk_level,coverage_risk_level,source,design_basis,llm_reason,strategy_reason,requirement_id_coverage,technique_strategy
REQ-1,Users shall be able to add a new Todo item to a specified List; input consisting only of whitespace shall not create an item,TodoItem,COV-004,TS-001,TodoItem Boundary Suite,Test data range and boundaries: whitespace only,Boundary,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: no item created,Boundary Value Analysis,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 boundary value analysis,TC-001,Boundary value: below lower boundary (generic lower invalid boundary),no item created,Medium,Medium,Medium,Rule fallback - BVA,Values are selected on and around identifiable or inferred boundaries.,,"Coverage item explicitly tests data range and boundaries for whitespace-only input, which is a boundary condition. BVA is appropriate.",REQ-1,Boundary Value Analysis
REQ-1,Users shall be able to add a new Todo item to a specified List; input consisting only of whitespace shall not create an item,TodoItem,COV-004,TS-001,TodoItem Boundary Suite,Test data range and boundaries: whitespace only,Boundary,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: no item created,Boundary Value Analysis,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 boundary value analysis,TC-002,Boundary value: on lower boundary (generic lower valid boundary),no item created,Medium,Medium,Medium,Rule fallback - BVA,Values are selected on and around identifiable or inferred boundaries.,,"Coverage item explicitly tests data range and boundaries for whitespace-only input, which is a boundary condition. BVA is appropriate.",REQ-1,Boundary Value Analysis
REQ-1,Users shall be able to add a new Todo item to a specified List; input consisting only of whitespace shall not create an item,TodoItem,COV-004,TS-001,TodoItem Boundary Suite,Test data range and boundaries: whitespace only,Boundary,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: no item created,Boundary Value Analysis,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 boundary value analysis,TC-003,Boundary value: above upper boundary (generic upper boundary review),no item created,Medium,Medium,Medium,Rule fallback - BVA,Values are selected on and around identifiable or inferred boundaries.,,"Coverage item explicitly tests data range and boundaries for whitespace-only input, which is a boundary condition. BVA is appropriate.",REQ-1,Boundary Value Analysis
REQ-2,Users shall be able to mark or unmark a Todo item as completed,TodoItem,COV-008,TS-001,TodoItem Boundary Suite,Test data range and boundaries: completed status,Boundary,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: status changed,Boundary Value Analysis,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 boundary value analysis,TC-004,Boundary value: below lower boundary (generic lower invalid boundary),status changed,Low,Low,Low,Rule fallback - BVA,Values are selected on and around identifiable or inferred boundaries.,,"Coverage item explicitly tests data range and boundaries for completed status, which is a boundary condition. BVA is appropriate.",REQ-2,Boundary Value Analysis
REQ-2,Users shall be able to mark or unmark a Todo item as completed,TodoItem,COV-008,TS-001,TodoItem Boundary Suite,Test data range and boundaries: completed status,Boundary,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: status changed,Boundary Value Analysis,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 boundary value analysis,TC-005,Boundary value: on lower boundary (generic lower valid boundary),status changed,Low,Low,Low,Rule fallback - BVA,Values are selected on and around identifiable or inferred boundaries.,,"Coverage item explicitly tests data range and boundaries for completed status, which is a boundary condition. BVA is appropriate.",REQ-2,Boundary Value Analysis
REQ-2,Users shall be able to mark or unmark a Todo item as completed,TodoItem,COV-008,TS-001,TodoItem Boundary Suite,Test data range and boundaries: completed status,Boundary,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: status changed,Boundary Value Analysis,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 boundary value analysis,TC-006,Boundary value: above upper boundary (generic upper boundary review),status changed,Low,Low,Low,Rule fallback - BVA,Values are selected on and around identifiable or inferred boundaries.,,"Coverage item explicitly tests data range and boundaries for completed status, which is a boundary condition. BVA is appropriate.",REQ-2,Boundary Value Analysis
REQ-3,Users shall be able to edit the text of a Todo item by double-clicking; saving an empty title shall delete the item,TodoItem,COV-014,TS-001,TodoItem Boundary Suite,Test data range and boundaries: empty title,Boundary,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: title updated or item deleted,Boundary Value Analysis,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 boundary value analysis,TC-007,Boundary value: below lower boundary (generic lower invalid boundary),title updated or item deleted,Medium,Medium,Medium,Rule fallback - BVA,Values are selected on and around identifiable or inferred boundaries.,,"Coverage item explicitly tests data range and boundaries for empty title, which is a boundary condition. BVA is appropriate.",REQ-3,Boundary Value Analysis
REQ-3,Users shall be able to edit the text of a Todo item by double-clicking; saving an empty title shall delete the item,TodoItem,COV-014,TS-001,TodoItem Boundary Suite,Test data range and boundaries: empty title,Boundary,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: title updated or item deleted,Boundary Value Analysis,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 boundary value analysis,TC-008,Boundary value: on lower boundary (generic lower valid boundary),title updated or item deleted,Medium,Medium,Medium,Rule fallback - BVA,Values are selected on and around identifiable or inferred boundaries.,,"Coverage item explicitly tests data range and boundaries for empty title, which is a boundary condition. BVA is appropriate.",REQ-3,Boundary Value Analysis
REQ-3,Users shall be able to edit the text of a Todo item by double-clicking; saving an empty title shall delete the item,TodoItem,COV-014,TS-001,TodoItem Boundary Suite,Test data range and boundaries: empty title,Boundary,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: title updated or item deleted,Boundary Value Analysis,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 boundary value analysis,TC-009,Boundary value: above upper boundary (generic upper boundary review),title updated or item deleted,Medium,Medium,Medium,Rule fallback - BVA,Values are selected on and around identifiable or inferred boundaries.,,"Coverage item explicitly tests data range and boundaries for empty title, which is a boundary condition. BVA is appropriate.",REQ-3,Boundary Value Analysis
REQ-6,Users shall be able to filter Todo items by All Active or Completed status,TodoItem,COV-024,TS-001,TodoItem Boundary Suite,Test data range and boundaries: All,Boundary,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: filtered list shown,Boundary Value Analysis,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 boundary value analysis,TC-010,Boundary value: below lower boundary (generic lower invalid boundary),filtered list shown,Medium,Medium,Medium,Rule fallback - BVA,Values are selected on and around identifiable or inferred boundaries.,,"Coverage item explicitly tests data range and boundaries for 'All' filter, which is a boundary condition. BVA is appropriate.",REQ-6,Boundary Value Analysis
