sequence_id,transition_id,coverage_goal,optimization_rule,reset_required,source_state,event,guard,test_data,target_state,precondition,steps,expected_result
OPT-TRANS-001,TR-001,All Transitions,Cover each selected state or transition once; reset only when the next transition cannot be chained from the current state.,True,Empty List,Add valid item,input is not whitespace,Buy milk,List with Items,The system is in source state: Empty List.,"1. Reset or navigate the system to the source state
2. Establish source state: Empty List
3. Apply event/action: Add valid item
4. Observe the resulting system state",The system rejects or safely handles the invalid input; no invalid state or invalid data is committed.
OPT-TRANS-002,TR-003,All Transitions,Cover each selected state or transition once; reset only when the next transition cannot be chained from the current state.,False,List with Items,Toggle item completed,item exists,item 1,List with Items,The system is in source state: List with Items.,"1. Establish source state: List with Items
2. Apply event/action: Toggle item completed
3. Observe the resulting system state","The system reaches the expected target state after the event, or rejects an invalid transition without corrupting state."
OPT-TRANS-003,TR-004,All Transitions,Cover each selected state or transition once; reset only when the next transition cannot be chained from the current state.,False,List with Items,Edit item title to non-empty,new title not empty,"item 1, new title: Buy eggs",List with Items,The system is in source state: List with Items.,"1. Establish source state: List with Items
2. Apply event/action: Edit item title to non-empty
3. Observe the resulting system state",The system rejects or safely handles the invalid input; no invalid state or invalid data is committed.
OPT-TRANS-004,TR-005,All Transitions,Cover each selected state or transition once; reset only when the next transition cannot be chained from the current state.,False,List with Items,Edit item title to empty,new title empty,"item 1, new title: ''",List with Items,The system is in source state: List with Items.,"1. Establish source state: List with Items
2. Apply event/action: Edit item title to empty
3. Observe the resulting system state",The system rejects or safely handles the invalid input; no invalid state or invalid data is committed.
OPT-TRANS-005,TR-006,All Transitions,Cover each selected state or transition once; reset only when the next transition cannot be chained from the current state.,False,List with Items,Delete single item,item exists,item 1,List with Items,The system is in source state: List with Items.,"1. Establish source state: List with Items
2. Apply event/action: Delete single item
3. Observe the resulting system state","The system reaches the expected target state after the event, or rejects an invalid transition without corrupting state."
OPT-TRANS-006,TR-007,All Transitions,Cover each selected state or transition once; reset only when the next transition cannot be chained from the current state.,False,List with Items,Toggle all to completed,some items active,toggle all,All Completed,The system is in source state: List with Items.,"1. Establish source state: List with Items
2. Apply event/action: Toggle all to completed
3. Observe the resulting system state","The system reaches the expected target state after the event, or rejects an invalid transition without corrupting state."
OPT-TRANS-007,TR-008,All Transitions,Cover each selected state or transition once; reset only when the next transition cannot be chained from the current state.,False,All Completed,Toggle all to active,all items completed,toggle all,List with Items,The system is in source state: All Completed.,"1. Establish source state: All Completed
2. Apply event/action: Toggle all to active
3. Observe the resulting system state","The system reaches the expected target state after the event, or rejects an invalid transition without corrupting state."
OPT-TRANS-008,TR-009,All Transitions,Cover each selected state or transition once; reset only when the next transition cannot be chained from the current state.,False,List with Items,Filter by Active,filter selected,Active,Filtered View,The system is in source state: List with Items.,"1. Establish source state: List with Items
2. Apply event/action: Filter by Active
3. Observe the resulting system state","The system reaches the expected target state after the event, or rejects an invalid transition without corrupting state."
OPT-TRANS-009,TR-010,All Transitions,Cover each selected state or transition once; reset only when the next transition cannot be chained from the current state.,False,Filtered View,Filter by All,filter selected,All,List with Items,The system is in source state: Filtered View.,"1. Establish source state: Filtered View
2. Apply event/action: Filter by All
3. Observe the resulting system state","The system reaches the expected target state after the event, or rejects an invalid transition without corrupting state."
OPT-TRANS-010,TR-002,All Transitions,Cover each selected state or transition once; reset only when the next transition cannot be chained from the current state.,True,Empty List,Add whitespace item,input is whitespace,   ,Empty List,The system is in source state: Empty List.,"1. Reset or navigate the system to the source state
2. Establish source state: Empty List
3. Apply event/action: Add whitespace item
4. Observe the resulting system state",The system rejects or safely handles the invalid input; no invalid state or invalid data is committed.
OPT-TRANS-011,TR-011,All Transitions,Cover each selected state or transition once; reset only when the next transition cannot be chained from the current state.,True,All Completed,Clear completed,completed items exist,clear,Empty List,The system is in source state: All Completed.,"1. Reset or navigate the system to the source state
2. Establish source state: All Completed
3. Apply event/action: Clear completed
4. Observe the resulting system state",The system rejects or safely handles the invalid input; no invalid state or invalid data is committed.
