coverage_id,requirement_id,description,coverage_type,risk_level,related_techniques,tags,notes
COV-001,REQ-1,Verify core behavior: add item,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: no item created
COV-002,REQ-1,Test input field 'input' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: no item created
COV-003,REQ-1,Validate condition: input is whitespace,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: no item created
COV-004,REQ-1,Test data range and boundaries: whitespace only,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: no item created
COV-005,REQ-2,Verify core behavior: toggle completed,Functional,Low,['Equivalence Partitioning'],['core'],Expected result basis: status changed
COV-006,REQ-2,Test input field 'item' with valid and invalid data,Input,Low,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: status changed
COV-007,REQ-2,Validate condition: user action,Condition,Low,['Decision Table Testing'],['condition'],Expected result basis: status changed
COV-008,REQ-2,Test data range and boundaries: completed status,Boundary,Low,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: status changed
COV-009,REQ-3,Verify core behavior: edit title,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: title updated or item deleted
COV-010,REQ-3,Test input field 'item' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: title updated or item deleted
COV-011,REQ-3,Test input field 'title' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: title updated or item deleted
COV-012,REQ-3,Validate condition: double-click,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: title updated or item deleted
COV-013,REQ-3,Validate condition: save empty,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: title updated or item deleted
COV-014,REQ-3,Test data range and boundaries: empty title,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: title updated or item deleted
COV-015,REQ-4,Verify core behavior: delete item,Functional,Low,['Equivalence Partitioning'],['core'],Expected result basis: item removed
COV-016,REQ-4,Test input field 'item' with valid and invalid data,Input,Low,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: item removed
COV-017,REQ-4,Validate condition: user action,Condition,Low,['Decision Table Testing'],['condition'],Expected result basis: item removed
COV-018,REQ-5,Verify core behavior: toggle all,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: all toggled
COV-019,REQ-5,Test input field 'control' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: all toggled
COV-020,REQ-5,Validate condition: user action,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: all toggled
COV-021,REQ-6,Verify core behavior: apply filter,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: filtered list shown
COV-022,REQ-6,Test input field 'filter' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: filtered list shown
COV-023,REQ-6,Validate condition: select filter,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: filtered list shown
COV-024,REQ-6,Test data range and boundaries: All,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: filtered list shown
COV-025,REQ-6,Test data range and boundaries: Active,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: filtered list shown
COV-026,REQ-6,Test data range and boundaries: Completed,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: filtered list shown
COV-027,REQ-7,Verify core behavior: clear completed,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: completed items removed
COV-028,REQ-7,Test input field 'completed items' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: completed items removed
COV-029,REQ-7,Validate condition: user action,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: completed items removed
COV-AI-001,REQ-1,Test adding item when list is full or unavailable,Error,Medium,['Error Guessing'],['llm-suggested'],Missing error handling and state transition coverage for several requirements
COV-AI-002,REQ-2,Test toggling completed status multiple times,State Transition,Medium,['State Transition Testing'],['llm-suggested'],Missing error handling and state transition coverage for several requirements
COV-AI-003,REQ-3,Test editing item that was deleted by another user,Error,Medium,['Error Guessing'],['llm-suggested'],Missing error handling and state transition coverage for several requirements
COV-AI-004,REQ-4,Test deleting item that is already deleted,Error,Medium,['Error Guessing'],['llm-suggested'],Missing error handling and state transition coverage for several requirements
COV-AI-005,REQ-5,Test toggling all when some items are already toggled,State Transition,Medium,['State Transition Testing'],['llm-suggested'],Missing error handling and state transition coverage for several requirements
COV-AI-006,REQ-6,Test filter with invalid filter value,Error,Medium,['Error Guessing'],['llm-suggested'],Missing error handling and state transition coverage for several requirements
COV-AI-007,REQ-7,Test clearing completed when no items are completed,Error,Medium,['Error Guessing'],['llm-suggested'],Missing error handling and state transition coverage for several requirements
