requirement_id,module,requirement_text,input_fields,data_ranges,conditions,actions,expected_results
REQ-TODO-001,Todo Creation,Users shall be able to add a new Todo item to a specified List.,"['listId', 'title']","['listId:any', 'title:non-empty string']","['listId exists', 'title is not empty']",['add todo item to list'],['todo item appears in list']
REQ-TODO-002,Todo Validation,The system shall trim leading and trailing whitespace from a Todo item title before saving it during creation or editing.,['title'],['title:string'],['title has leading/trailing whitespace'],['trim whitespace from title before saving'],['saved title has no leading/trailing whitespace']
REQ-TODO-003,Todo Validation,The system shall reject a Todo item title that is empty or contains only whitespace after trimming during creation or editing.,['title'],['title:string'],['title is empty or whitespace only after trimming'],['reject creation or edit'],['todo item not saved; error shown']
REQ-TODO-004,Todo Validation,The system shall reject a Todo item title longer than 100 characters during creation or editing.,['title'],['title:string'],['title length > 100 characters'],['reject creation or edit'],['todo item not saved; error shown']
REQ-TODO-005,Todo Completion,Users shall be able to toggle a Todo item between active and completed status.,['todoId'],['todoId:any'],['todo item exists'],['toggle status between active and completed'],['todo item status changes']
REQ-TODO-006,Todo Editing,Users shall be able to enter Todo item edit mode by double-clicking the item label.,['todoId'],['todoId:any'],['double-click on item label'],['enter edit mode'],['edit field appears with current title']
REQ-TODO-007,Todo Editing,Users shall be able to update the title of an existing Todo item.,"['todoId', 'newTitle']","['todoId:any', 'newTitle:non-empty string']","['todo item exists', 'newTitle is not empty']",['update title of todo item'],['todo item title is updated']
REQ-TODO-008,Todo Editing,The system shall delete a Todo item when the edited title is saved as empty after trimming.,"['todoId', 'newTitle']","['todoId:any', 'newTitle:string']",['newTitle after trimming is empty'],['delete todo item'],['todo item is removed from list']
REQ-TODO-009,Todo Editing,The system shall cancel editing and keep the original title when the user presses Escape.,['todoId'],['todoId:any'],['user presses Escape during edit'],['cancel editing'],['original title is restored']
REQ-TODO-010,Todo Deletion,Users shall be able to delete a single Todo item.,['todoId'],['todoId:any'],['todo item exists'],['delete single todo item'],['todo item is removed from list']
REQ-TODO-011,Todo Bulk Update,Users shall be able to use a single control to mark all Todo items in the current List as completed or active.,"['listId', 'action']","['listId:any', 'action:markAllCompleted or markAllActive']",['list exists'],['mark all items as completed or active'],['all todo items in list have specified status']
REQ-TODO-012,Todo Filter,"Users shall be able to filter Todo items by All, Active, and Completed status.","['listId', 'filter']","['listId:any', 'filter:All or Active or Completed']",['list exists'],['apply filter to todo items'],['only items matching filter are displayed']
REQ-TODO-013,Todo Cleanup,Users shall be able to clear all completed Todo items in the current List at once.,['listId'],['listId:any'],"['list exists', 'there are completed items']",['clear all completed items'],['all completed items are removed from list']
