requirement_id,module,requirement_text,input_fields,data_ranges,conditions,actions,expected_results
REQ-TODO-001,Todo Creation,The user shall be able to create a todo item with non-empty text.,['text'],['non-empty'],['text non-empty'],['create todo'],['todo created']
REQ-TODO-002,Todo Creation,The system shall reject creating a todo item when the todo text is empty.,['text'],['empty'],['text empty'],['reject creation'],['error']
REQ-TODO-003,Todo Creation,The system shall limit todo text length to 100 characters.,['text'],['length>100'],['text length>100'],['reject creation'],['error']
REQ-TODO-004,Todo Completion,The user shall be able to mark an active todo item as completed.,['todo'],['active'],['todo active'],['mark completed'],['status changed to completed']
REQ-TODO-005,Todo Completion,The user shall be able to mark a completed todo item as active again.,['todo'],['completed'],['todo completed'],['mark active'],['status changed to active']
REQ-TODO-006,Todo Deletion,The user shall be able to delete an existing todo item.,['todo'],['exists'],['todo exists'],['delete todo'],['todo removed']
REQ-TODO-007,Todo Display,The system shall display all todo items in the todo list.,[],['any'],['any'],['display list'],['all todos shown']
REQ-TODO-008,Todo Persistence,The system shall keep todo items after page refresh.,[],['any'],['after refresh'],['keep todos'],['todos persist']
REQ-TODO-009,Todo Creation,The user shall be able to create a todo item by pressing Enter.,['text'],['non-empty'],['Enter key'],['create todo'],['todo created']
REQ-TODO-010,Todo Creation,The system shall trim leading and trailing spaces from todo text.,['text'],['has spaces'],['trim'],['create todo'],['text trimmed']
REQ-TODO-011,Todo Creation,The system shall reject todo text that contains only spaces.,['text'],['only spaces'],['text only spaces'],['reject creation'],['error']
REQ-TODO-012,Todo Creation,The system shall show a validation message when todo creation fails.,['text'],['invalid'],['creation fails'],['show validation'],['validation message']
REQ-TODO-013,Todo Creation,The system shall allow creating multiple todo items with different text.,['text'],['different'],['multiple'],['create todos'],['all created']
REQ-TODO-014,Todo Creation,The system shall preserve the order in which todo items are created.,[],['any'],['creation order'],['preserve order'],['order maintained']
REQ-TODO-015,Todo Editing,The user shall be able to edit the text of an active todo item.,"['todo', 'newText']",['active'],['todo active'],['edit text'],['text updated']
REQ-TODO-016,Todo Editing,The user shall be able to edit the text of a completed todo item.,"['todo', 'newText']",['completed'],['todo completed'],['edit text'],['text updated']
REQ-TODO-017,Todo Editing,The system shall save edited todo text when the user presses Enter.,"['todo', 'newText']",['valid'],['Enter key'],['save edit'],['text saved']
REQ-TODO-018,Todo Editing,The system shall cancel editing when the user presses Escape.,['todo'],['editing'],['Escape key'],['cancel edit'],['original text restored']
REQ-TODO-019,Todo Editing,The system shall reject edited todo text when it is empty.,"['todo', 'newText']",['empty'],['edit empty'],['reject edit'],['error']
