requirement_id,requirement_text,requirement_type,coverage_id,coverage_description,suite_id,suite_name,test_case_id,technique,risk_level
REQ-TODO-011,Users shall be able to use a single control to mark all Todo items in the current List as completed or active.,original,COV-053,Test data range and boundaries: listId:any,TS-001,Todo Bulk Update Boundary,TC-001,Boundary Value Analysis,Medium
REQ-TODO-011,Users shall be able to use a single control to mark all Todo items in the current List as completed or active.,original,COV-053,Test data range and boundaries: listId:any,TS-001,Todo Bulk Update Boundary,TC-002,Boundary Value Analysis,Medium
REQ-TODO-011,Users shall be able to use a single control to mark all Todo items in the current List as completed or active.,original,COV-053,Test data range and boundaries: listId:any,TS-001,Todo Bulk Update Boundary,TC-003,Boundary Value Analysis,Medium
REQ-TODO-011,Users shall be able to use a single control to mark all Todo items in the current List as completed or active.,original,COV-052,Validate condition: list exists,TS-002,Todo Bulk Update Decision Rule,TC-004,Decision Table Testing,Medium
REQ-TODO-011,Users shall be able to use a single control to mark all Todo items in the current List as completed or active.,original,COV-052,Validate condition: list exists,TS-002,Todo Bulk Update Decision Rule,TC-005,Decision Table Testing,Medium
REQ-TODO-011,Users shall be able to use a single control to mark all Todo items in the current List as completed or active.,original,COV-054,Test data range and boundaries: action:markAllCompleted or markAllActive,TS-003,Todo Bulk Update Partition Boundary,TC-006,Equivalence Partitioning,Medium
REQ-TODO-011,Users shall be able to use a single control to mark all Todo items in the current List as completed or active.,original,COV-054,Test data range and boundaries: action:markAllCompleted or markAllActive,TS-003,Todo Bulk Update Partition Boundary,TC-007,Equivalence Partitioning,Medium
REQ-TODO-011,Users shall be able to use a single control to mark all Todo items in the current List as completed or active.,original,COV-049,Verify core behavior: mark all items as completed or active,TS-004,Todo Bulk Update Partition Functional,TC-008,Equivalence Partitioning,Medium
REQ-TODO-011,Users shall be able to use a single control to mark all Todo items in the current List as completed or active.,original,COV-049,Verify core behavior: mark all items as completed or active,TS-004,Todo Bulk Update Partition Functional,TC-009,Equivalence Partitioning,Medium
REQ-TODO-011,Users shall be able to use a single control to mark all Todo items in the current List as completed or active.,original,COV-050,Test input field 'listId' with valid and invalid data,TS-005,Todo Bulk Update Partition Input,TC-010,Equivalence Partitioning,Medium
REQ-TODO-011,Users shall be able to use a single control to mark all Todo items in the current List as completed or active.,original,COV-050,Test input field 'listId' with valid and invalid data,TS-005,Todo Bulk Update Partition Input,TC-011,Equivalence Partitioning,Medium
REQ-TODO-011,Users shall be able to use a single control to mark all Todo items in the current List as completed or active.,original,COV-051,Test input field 'action' with valid and invalid data,TS-005,Todo Bulk Update Partition Input,TC-012,Equivalence Partitioning,Medium
REQ-TODO-011,Users shall be able to use a single control to mark all Todo items in the current List as completed or active.,original,COV-051,Test input field 'action' with valid and invalid data,TS-005,Todo Bulk Update Partition Input,TC-013,Equivalence Partitioning,Medium
REQ-STATE-MODEL,State model derived requirement,derived,COV-STATE-TR-001,State transition coverage derived from the generated behavior model,TS-044,State Transition Model Suite,TC-014,State Transition Testing,Medium
REQ-STATE-MODEL,State model derived requirement,derived,COV-STATE-TR-002,State transition coverage derived from the generated behavior model,TS-044,State Transition Model Suite,TC-015,State Transition Testing,Medium
REQ-STATE-MODEL,State model derived requirement,derived,COV-STATE-TR-003,State transition coverage derived from the generated behavior model,TS-044,State Transition Model Suite,TC-016,State Transition Testing,Medium
REQ-STATE-MODEL,State model derived requirement,derived,COV-STATE-TR-005,State transition coverage derived from the generated behavior model,TS-044,State Transition Model Suite,TC-017,State Transition Testing,Medium
REQ-STATE-MODEL,State model derived requirement,derived,COV-STATE-TR-009,State transition coverage derived from the generated behavior model,TS-044,State Transition Model Suite,TC-018,State Transition Testing,Medium
REQ-STATE-MODEL,State model derived requirement,derived,COV-STATE-TR-004,State transition coverage derived from the generated behavior model,TS-044,State Transition Model Suite,TC-019,State Transition Testing,Medium
REQ-STATE-MODEL,State model derived requirement,derived,COV-STATE-TR-006,State transition coverage derived from the generated behavior model,TS-044,State Transition Model Suite,TC-020,State Transition Testing,Medium
