coverage_id,requirement_id,description,coverage_type,risk_level,related_techniques,tags,notes
COV-001,REQ-TODO-001,Verify core behavior: create todo,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: todo created
COV-002,REQ-TODO-001,Test input field 'text' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: todo created
COV-003,REQ-TODO-001,Validate condition: text non-empty,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: todo created
COV-004,REQ-TODO-001,Test data range and boundaries: non-empty,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: todo created
COV-005,REQ-TODO-002,Verify core behavior: reject creation,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: error
COV-006,REQ-TODO-002,Test input field 'text' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: error
COV-007,REQ-TODO-002,Validate condition: text empty,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: error
COV-008,REQ-TODO-002,Test data range and boundaries: empty,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: error
COV-009,REQ-TODO-003,Verify core behavior: reject creation,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: error
COV-010,REQ-TODO-003,Test input field 'text' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: error
COV-011,REQ-TODO-003,Validate condition: text length>100,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: error
COV-012,REQ-TODO-003,Test data range and boundaries: length>100,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: error
COV-013,REQ-TODO-004,Verify core behavior: mark completed,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: status changed to completed
