risk_id,impact,likelihood,requirement_id,risk_description,risk_category,risk_score,risk_level,reason,test_suggestion,source
RSK-001,2,2,REQ-TODO-001,The feature may not satisfy the required Todo behavior or input validation rule.,functional suitability,4,Medium,"Core feature, moderate risk","Include valid, invalid, and boundary input tests.",LLM prompt analysis
RSK-002,1,1,REQ-TODO-002,The feature may not satisfy the required Todo behavior or input validation rule.,functional suitability,1,Low,"Simple validation, low risk","Include valid, invalid, and boundary input tests.",LLM prompt analysis
RSK-003,2,2,REQ-TODO-003,The feature may not satisfy the required Todo behavior or input validation rule.,functional suitability,4,Medium,"Edge case, moderate risk","Include valid, invalid, and boundary input tests.",LLM prompt analysis
RSK-004,2,2,REQ-TODO-004,The feature may not satisfy the required Todo behavior or input validation rule.,functional suitability,4,Medium,"Boundary check, moderate risk","Include valid, invalid, and boundary input tests.",LLM prompt analysis
RSK-005,2,2,REQ-TODO-005,The feature may not satisfy the required Todo behavior or input validation rule.,functional suitability,4,Medium,"Core feature, moderate risk","Include valid, invalid, and boundary input tests.",LLM prompt analysis
RSK-006,2,2,REQ-TODO-006,The UI may display an incorrect Todo state or filter result.,interaction capability,4,Medium,"UI interaction, moderate risk","Include UI state, filtering, and transition tests.",LLM prompt analysis
RSK-007,2,2,REQ-TODO-007,The feature may not satisfy the required Todo behavior or input validation rule.,functional suitability,4,Medium,"Core feature, moderate risk","Include valid, invalid, and boundary input tests.",LLM prompt analysis
RSK-008,2,2,REQ-TODO-008,The feature may not satisfy the required Todo behavior or input validation rule.,functional suitability,4,Medium,"Edge case, moderate risk","Include valid, invalid, and boundary input tests.",LLM prompt analysis
RSK-009,1,1,REQ-TODO-009,The UI may display an incorrect Todo state or filter result.,interaction capability,1,Low,"UI behavior, low risk","Include UI state, filtering, and transition tests.",LLM prompt analysis
RSK-010,2,2,REQ-TODO-010,The feature may not satisfy the required Todo behavior or input validation rule.,functional suitability,4,Medium,"Core feature, moderate risk","Include valid, invalid, and boundary input tests.",LLM prompt analysis
RSK-011,2,2,REQ-TODO-011,The feature may not satisfy the required Todo behavior or input validation rule.,functional suitability,4,Medium,"Bulk operation, moderate risk","Include valid, invalid, and boundary input tests.",LLM prompt analysis
RSK-012,2,2,REQ-TODO-012,The feature may not satisfy the required Todo behavior or input validation rule.,functional suitability,4,Medium,"Filtering, moderate risk","Include valid, invalid, and boundary input tests.",LLM prompt analysis
RSK-013,2,2,REQ-TODO-013,The feature may not satisfy the required Todo behavior or input validation rule.,functional suitability,4,Medium,"Cleanup, moderate risk","Include valid, invalid, and boundary input tests.",LLM prompt analysis
RSK-014,3,3,REQ-TODO-014,Todo data or state may not be preserved consistently across operations.,reliability,9,High,"Data loss risk, high",Include persistence and recovery-oriented tests.,LLM prompt analysis
RSK-015,3,3,REQ-TODO-015,Todo data or state may not be preserved consistently across operations.,reliability,9,High,"Data isolation, high",Include persistence and recovery-oriented tests.,LLM prompt analysis
