coverage_id,requirement_id,description,coverage_type,risk_level,related_techniques,tags,notes
COV-001,FR-1,Verify core behavior: add item to list,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: item created
COV-002,FR-1,Test input field 'listId' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: item created
COV-003,FR-1,Test input field 'title' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: item created
COV-004,FR-1,Validate condition: title is not whitespace only,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: item created
COV-005,FR-1,Test data range and boundaries: title:non-whitespace,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: item created
COV-006,FR-2,Verify core behavior: toggle completed,Functional,Low,['Equivalence Partitioning'],['core'],Expected result basis: completed status toggled
COV-007,FR-2,Test input field 'itemId' with valid and invalid data,Input,Low,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: completed status toggled
COV-008,FR-2,Validate condition: item exists,Condition,Low,['Decision Table Testing'],['condition'],Expected result basis: completed status toggled
COV-009,FR-2,Test data range and boundaries: itemId:valid,Boundary,Low,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: completed status toggled
COV-010,FR-3,Verify core behavior: edit title or delete if empty,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: title updated or item deleted
COV-011,FR-3,Test input field 'itemId' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: title updated or item deleted
COV-012,FR-3,Test input field 'newTitle' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: title updated or item deleted
COV-013,FR-3,Validate condition: double-click on item,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: title updated or item deleted
COV-014,FR-3,Test data range and boundaries: newTitle:non-empty,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: title updated or item deleted
COV-015,FR-4,Verify core behavior: delete item,Functional,Low,['Equivalence Partitioning'],['core'],Expected result basis: item removed
COV-016,FR-4,Test input field 'itemId' with valid and invalid data,Input,Low,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: item removed
COV-017,FR-4,Validate condition: item exists,Condition,Low,['Decision Table Testing'],['condition'],Expected result basis: item removed
COV-018,FR-4,Test data range and boundaries: itemId:valid,Boundary,Low,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: item removed
COV-019,FR-5,Verify core behavior: all items toggled,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: all completed or active
COV-020,FR-5,Test input field 'control' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: all completed or active
COV-021,FR-5,Validate condition: toggle all,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: all completed or active
COV-022,FR-5,Test data range and boundaries: control:click,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: all completed or active
COV-023,FR-6,Verify core behavior: filter items,Functional,Low,['Equivalence Partitioning'],['core'],Expected result basis: items filtered by status
COV-024,FR-6,Test input field 'filter' with valid and invalid data,Input,Low,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: items filtered by status
COV-025,FR-6,Validate condition: select filter,Condition,Low,['Decision Table Testing'],['condition'],Expected result basis: items filtered by status
COV-026,FR-6,Test data range and boundaries: filter:All|Active|Completed,Boundary,Low,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: items filtered by status
COV-027,FR-7,Verify core behavior: delete all completed,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: completed items removed
COV-028,FR-7,Test input field 'clearButton' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: completed items removed
COV-029,FR-7,Validate condition: clear completed,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: completed items removed
COV-030,FR-7,Test data range and boundaries: clearButton:click,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: completed items removed
COV-AI-001,FR-1,Add item with empty title (whitespace only) should not create item,Error,Medium,['Negative Testing'],['llm-suggested'],"4 missing coverage items identified: error cases for FR-1 and FR-3, state transitions for FR-5 and FR-7"
COV-AI-002,FR-3,Edit item to empty title should delete item,Error,Medium,['Negative Testing'],['llm-suggested'],"4 missing coverage items identified: error cases for FR-1 and FR-3, state transitions for FR-5 and FR-7"
COV-AI-003,FR-5,"Toggle all from mixed state (some completed, some active)",State Transition,Medium,['State Transition Testing'],['llm-suggested'],"4 missing coverage items identified: error cases for FR-1 and FR-3, state transitions for FR-5 and FR-7"
COV-AI-004,FR-7,Clear completed when no items are completed,State Transition,Medium,['State Transition Testing'],['llm-suggested'],"4 missing coverage items identified: error cases for FR-1 and FR-3, state transitions for FR-5 and FR-7"
