sequence_id,transition_id,coverage_id,coverage_goal,optimization_rule,reset_required,source_state,event,guard,test_data,target_state,precondition,steps,expected_result
OPT-TRANS-001,TR-001,COV-STATE-TR-001,All Transitions,Cover each selected state or transition once; reset only when the next transition cannot be chained from the current state.,True,active,toggle status,todo item exists,,completed,The system is in source state: active.,"1. Reset or navigate the system to the source state
2. Establish source state: active
3. Apply event/action: toggle status
4. Observe the resulting system state",The todo item status changes to completed.
OPT-TRANS-002,TR-002,COV-STATE-TR-002,All Transitions,Cover each selected state or transition once; reset only when the next transition cannot be chained from the current state.,False,completed,toggle status,todo item exists,,active,The system is in source state: completed.,"1. Establish source state: completed
2. Apply event/action: toggle status
3. Observe the resulting system state",The todo item status changes to active.
OPT-TRANS-003,TR-003,COV-STATE-TR-003,All Transitions,Cover each selected state or transition once; reset only when the next transition cannot be chained from the current state.,False,active,double-click label,todo item exists,,editing,The system is in source state: active.,"1. Establish source state: active
2. Apply event/action: double-click label
3. Observe the resulting system state",The item enters edit mode and the edit field shows the current title.
OPT-TRANS-004,TR-005,COV-STATE-TR-005,All Transitions,Cover each selected state or transition once; reset only when the next transition cannot be chained from the current state.,False,editing,save title,"newTitle is not empty after trimming, length <= 100",newTitle: 'updated title',active,The system is in source state: editing.,"1. Establish source state: editing
2. Apply event/action: save title
3. Observe the resulting system state",The title is saved successfully and the item transitions from editing to active.
OPT-TRANS-005,TR-009,COV-STATE-TR-009,All Transitions,Cover each selected state or transition once; reset only when the next transition cannot be chained from the current state.,False,active,delete item,todo item exists,,deleted,The system is in source state: active.,"1. Establish source state: active
2. Apply event/action: delete item
3. Observe the resulting system state",The todo item is deleted and removed from the list.
OPT-TRANS-006,TR-004,COV-STATE-TR-004,All Transitions,Cover each selected state or transition once; reset only when the next transition cannot be chained from the current state.,True,completed,double-click label,todo item exists,,editing,The system is in source state: completed.,"1. Reset or navigate the system to the source state
2. Establish source state: completed
3. Apply event/action: double-click label
4. Observe the resulting system state",The item enters edit mode and the edit field shows the current title.
OPT-TRANS-007,TR-006,COV-STATE-TR-006,All Transitions,Cover each selected state or transition once; reset only when the next transition cannot be chained from the current state.,False,editing,save title,newTitle after trimming is empty,newTitle: '',deleted,The system is in source state: editing.,"1. Establish source state: editing
2. Apply event/action: save title
3. Observe the resulting system state",Saving the empty trimmed title deletes the todo item and removes it from the list.
OPT-TRANS-008,TR-007,COV-STATE-TR-007,All Transitions,Cover each selected state or transition once; reset only when the next transition cannot be chained from the current state.,True,editing,press Escape,original title restored,,active,The system is in source state: editing.,"1. Reset or navigate the system to the source state
2. Establish source state: editing
3. Apply event/action: press Escape
4. Observe the resulting system state","Editing is cancelled, edit mode exits, and the original title is restored."
OPT-TRANS-009,TR-011,COV-STATE-TR-011,All Transitions,Cover each selected state or transition once; reset only when the next transition cannot be chained from the current state.,False,active,mark all as completed,list exists,,completed,The system is in source state: active.,"1. Establish source state: active
2. Apply event/action: mark all as completed
3. Observe the resulting system state",All todo items in the current list become completed.
OPT-TRANS-010,TR-010,COV-STATE-TR-010,All Transitions,Cover each selected state or transition once; reset only when the next transition cannot be chained from the current state.,False,completed,delete item,todo item exists,,deleted,The system is in source state: completed.,"1. Establish source state: completed
2. Apply event/action: delete item
3. Observe the resulting system state",The todo item is deleted and removed from the list.
OPT-TRANS-011,TR-008,COV-STATE-TR-008,All Transitions,Cover each selected state or transition once; reset only when the next transition cannot be chained from the current state.,True,editing,press Escape,original title restored,,completed,The system is in source state: editing.,"1. Reset or navigate the system to the source state
2. Establish source state: editing
3. Apply event/action: press Escape
4. Observe the resulting system state","Editing is cancelled, edit mode exits, and the original title is restored."
OPT-TRANS-012,TR-012,COV-STATE-TR-012,All Transitions,Cover each selected state or transition once; reset only when the next transition cannot be chained from the current state.,False,completed,mark all as active,list exists,,active,The system is in source state: completed.,"1. Establish source state: completed
2. Apply event/action: mark all as active
3. Observe the resulting system state",All todo items in the current list become active.
OPT-TRANS-013,TR-013,COV-STATE-TR-013,All Transitions,Cover each selected state or transition once; reset only when the next transition cannot be chained from the current state.,True,completed,clear completed,"list exists, there are completed items",,deleted,The system is in source state: completed.,"1. Reset or navigate the system to the source state
2. Establish source state: completed
3. Apply event/action: clear completed
4. Observe the resulting system state",All completed todo items are removed; active items remain in the list.
