requirement_id,requirement_text,module,coverage_id,coverage_description,coverage_type,related_techniques,tags,notes,technique,technique_standard,test_case_id,test_data,expected_result,priority,risk_level,coverage_risk_level,source,design_basis,llm_reason,strategy_reason,requirement_id_coverage,technique_strategy
REQ-TODO-008,The system shall keep todo items after page refresh.,Todo Persistence,COV-026,Verify core behavior: persist data,Functional,['Equivalence Partitioning'],['core'],Expected result basis: data persists,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-058,Representative valid partition data derived from the requirement,data persists,High,High,High,Rule fallback - EP valid partition,Valid equivalence partition for: Verify core behavior: persist data,,"Coverage item is a simple functional verification of data persistence, not a combinatorial logic condition. Equivalence Partitioning is more appropriate for testing a single functional outcome.",REQ-TODO-008,Equivalence Partitioning
REQ-TODO-008,The system shall keep todo items after page refresh.,Todo Persistence,COV-026,Verify core behavior: persist data,Functional,['Equivalence Partitioning'],['core'],Expected result basis: data persists,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-059,Representative invalid partition data derived from the requirement,data persists,High,High,High,Rule fallback - EP invalid partition,Invalid equivalence partition for: Verify core behavior: persist data,,"Coverage item is a simple functional verification of data persistence, not a combinatorial logic condition. Equivalence Partitioning is more appropriate for testing a single functional outcome.",REQ-TODO-008,Equivalence Partitioning
REQ-TODO-061,The system shall save todo items to local storage after creation.,Todo Persistence,COV-235,Verify core behavior: save todo,Functional,['Equivalence Partitioning'],['core'],Expected result basis: saved,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-520,Representative valid partition data derived from the requirement,saved,High,High,High,Rule fallback - EP valid partition,Valid equivalence partition for: Verify core behavior: save todo,,Coverage item is 'Verify core behavior: save todo' (Functional type). This is a simple core action without multiple condition combinations. Equivalence Partitioning is more suitable.,REQ-TODO-061,Equivalence Partitioning
REQ-TODO-061,The system shall save todo items to local storage after creation.,Todo Persistence,COV-235,Verify core behavior: save todo,Functional,['Equivalence Partitioning'],['core'],Expected result basis: saved,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-521,Representative invalid partition data derived from the requirement,saved,High,High,High,Rule fallback - EP invalid partition,Invalid equivalence partition for: Verify core behavior: save todo,,Coverage item is 'Verify core behavior: save todo' (Functional type). This is a simple core action without multiple condition combinations. Equivalence Partitioning is more suitable.,REQ-TODO-061,Equivalence Partitioning
REQ-TODO-061,The system shall save todo items to local storage after creation.,Todo Persistence,COV-236,Test input field 'todo creation' with valid and invalid data,Input,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: saved,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-522,Representative valid partition data derived from the requirement,saved,High,High,High,Rule fallback - EP valid partition,Valid equivalence partition for: Test input field 'todo creation' with valid and invalid data,,Coverage item is 'Test input field' with valid and invalid data (Input type). Equivalence Partitioning is the primary technique for testing valid/invalid data inputs.,REQ-TODO-061,Equivalence Partitioning
REQ-TODO-061,The system shall save todo items to local storage after creation.,Todo Persistence,COV-236,Test input field 'todo creation' with valid and invalid data,Input,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: saved,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-523,Representative invalid partition data derived from the requirement,saved,High,High,High,Rule fallback - EP invalid partition,Invalid equivalence partition for: Test input field 'todo creation' with valid and invalid data,,Coverage item is 'Test input field' with valid and invalid data (Input type). Equivalence Partitioning is the primary technique for testing valid/invalid data inputs.,REQ-TODO-061,Equivalence Partitioning
REQ-TODO-061,The system shall save todo items to local storage after creation.,Todo Persistence,COV-237,Validate condition: after creation,Condition,['Decision Table Testing'],['condition'],Expected result basis: saved,Decision Table Testing,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 decision table testing,TC-524,Rule 1: All required conditions are true,The permitted action is completed successfully.,High,High,High,Rule fallback - Decision Table,Decision rule based on requirement conditions: All required conditions are true,,"Coverage item is 'Validate condition: after creation' (Condition type). Creation logic may involve multiple conditions (e.g., title length, due date, priority). Decision Table Testing is appropriate. No change needed.",REQ-TODO-061,Decision Table Testing
REQ-TODO-061,The system shall save todo items to local storage after creation.,Todo Persistence,COV-237,Validate condition: after creation,Condition,['Decision Table Testing'],['condition'],Expected result basis: saved,Decision Table Testing,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 decision table testing,TC-525,Rule 2: At least one required condition is false,The action is rejected or the alternative specified outcome occurs.,High,High,High,Rule fallback - Decision Table,Decision rule based on requirement conditions: At least one required condition is false,,"Coverage item is 'Validate condition: after creation' (Condition type). Creation logic may involve multiple conditions (e.g., title length, due date, priority). Decision Table Testing is appropriate. No change needed.",REQ-TODO-061,Decision Table Testing
REQ-TODO-061,The system shall save todo items to local storage after creation.,Todo Persistence,COV-238,Test data range and boundaries: local storage,Boundary,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: saved,Boundary Value Analysis,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 boundary value analysis,TC-526,Boundary value: below lower boundary (generic lower invalid boundary),saved,High,High,High,Rule fallback - BVA,Values are selected on and around identifiable or inferred boundaries.,,Coverage item explicitly describes 'boundaries' for local storage. BVA is correct. No change needed.,REQ-TODO-061,Boundary Value Analysis
REQ-TODO-061,The system shall save todo items to local storage after creation.,Todo Persistence,COV-238,Test data range and boundaries: local storage,Boundary,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: saved,Boundary Value Analysis,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 boundary value analysis,TC-527,Boundary value: on lower boundary (generic lower valid boundary),saved,High,High,High,Rule fallback - BVA,Values are selected on and around identifiable or inferred boundaries.,,Coverage item explicitly describes 'boundaries' for local storage. BVA is correct. No change needed.,REQ-TODO-061,Boundary Value Analysis
REQ-TODO-061,The system shall save todo items to local storage after creation.,Todo Persistence,COV-238,Test data range and boundaries: local storage,Boundary,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: saved,Boundary Value Analysis,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 boundary value analysis,TC-528,Boundary value: above upper boundary (generic upper boundary review),saved,High,High,High,Rule fallback - BVA,Values are selected on and around identifiable or inferred boundaries.,,Coverage item explicitly describes 'boundaries' for local storage. BVA is correct. No change needed.,REQ-TODO-061,Boundary Value Analysis
REQ-TODO-062,The system shall save todo completion state to local storage.,Todo Persistence,COV-239,Verify core behavior: save completion,Functional,['Equivalence Partitioning'],['core'],Expected result basis: saved,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-529,Representative valid partition data derived from the requirement,saved,High,High,High,Rule fallback - EP valid partition,Valid equivalence partition for: Verify core behavior: save completion,,Coverage item is 'Verify core behavior: save completion' (Functional type). This is a simple core action. Equivalence Partitioning is more suitable.,REQ-TODO-062,Equivalence Partitioning
REQ-TODO-062,The system shall save todo completion state to local storage.,Todo Persistence,COV-239,Verify core behavior: save completion,Functional,['Equivalence Partitioning'],['core'],Expected result basis: saved,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-530,Representative invalid partition data derived from the requirement,saved,High,High,High,Rule fallback - EP invalid partition,Invalid equivalence partition for: Verify core behavior: save completion,,Coverage item is 'Verify core behavior: save completion' (Functional type). This is a simple core action. Equivalence Partitioning is more suitable.,REQ-TODO-062,Equivalence Partitioning
REQ-TODO-062,The system shall save todo completion state to local storage.,Todo Persistence,COV-240,Test input field 'completion state' with valid and invalid data,Input,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: saved,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-531,Representative valid partition data derived from the requirement,saved,High,High,High,Rule fallback - EP valid partition,Valid equivalence partition for: Test input field 'completion state' with valid and invalid data,,Coverage item is 'Test input field' with valid and invalid data (Input type). State Transition Testing is not appropriate for input field validation. Equivalence Partitioning is the correct technique for testing valid/invalid data inputs.,REQ-TODO-062,Equivalence Partitioning
