risk_id,requirement_id,risk_description,risk_category,impact,likelihood,risk_score,risk_level,reason,test_suggestion,source
RSK-001,REQ-TODO-001,The feature may not satisfy the required Todo behavior or input validation rule.,functional suitability,2,2,4,Medium,"Basic feature, moderate risk","Include valid, invalid, and boundary input tests.",LLM prompt analysis
RSK-002,REQ-TODO-002,The feature may not satisfy the required Todo behavior or input validation rule.,functional suitability,1,1,1,Low,"Simple validation, low risk","Include valid, invalid, and boundary input tests.",LLM prompt analysis
RSK-003,REQ-TODO-003,The feature may not satisfy the required Todo behavior or input validation rule.,functional suitability,2,2,4,Medium,"Edge case, moderate risk","Include valid, invalid, and boundary input tests.",LLM prompt analysis
RSK-004,REQ-TODO-004,The feature may not satisfy the required Todo behavior or input validation rule.,functional suitability,2,2,4,Medium,"Boundary check, moderate risk","Include valid, invalid, and boundary input tests.",LLM prompt analysis
RSK-005,REQ-TODO-005,The feature may not satisfy the required Todo behavior or input validation rule.,functional suitability,2,2,4,Medium,"Core toggle, moderate risk","Include valid, invalid, and boundary input tests.",LLM prompt analysis
RSK-006,REQ-TODO-006,The UI may display an incorrect Todo state or filter result.,interaction capability,2,2,4,Medium,"UI interaction, moderate risk","Include UI state, filtering, and transition tests.",LLM prompt analysis
RSK-007,REQ-TODO-007,The feature may not satisfy the required Todo behavior or input validation rule.,functional suitability,2,2,4,Medium,"Update feature, moderate risk","Include valid, invalid, and boundary input tests.",LLM prompt analysis
RSK-008,REQ-TODO-008,The feature may not satisfy the required Todo behavior or input validation rule.,functional suitability,3,2,6,High,"Data loss risk, high impact","Include valid, invalid, and boundary input tests.",LLM prompt analysis
RSK-009,REQ-TODO-009,The UI may display an incorrect Todo state or filter result.,interaction capability,2,2,4,Medium,"Cancel action, moderate risk","Include UI state, filtering, and transition tests.",LLM prompt analysis
RSK-010,REQ-TODO-010,The feature may not satisfy the required Todo behavior or input validation rule.,functional suitability,2,2,4,Medium,"Delete feature, moderate risk","Include valid, invalid, and boundary input tests.",LLM prompt analysis
RSK-011,REQ-TODO-011,The feature may not satisfy the required Todo behavior or input validation rule.,functional suitability,2,2,4,Medium,"Bulk operation, moderate risk","Include valid, invalid, and boundary input tests.",LLM prompt analysis
RSK-012,REQ-TODO-012,The feature may not satisfy the required Todo behavior or input validation rule.,functional suitability,2,2,4,Medium,"Filter feature, moderate risk","Include valid, invalid, and boundary input tests.",LLM prompt analysis
RSK-013,REQ-TODO-013,The feature may not satisfy the required Todo behavior or input validation rule.,functional suitability,2,2,4,Medium,"Cleanup feature, moderate risk","Include valid, invalid, and boundary input tests.",LLM prompt analysis
