requirement_id,module,requirement_text,input_fields,data_ranges,conditions,actions,expected_results
REQ-TODO-001,Todo Creation,Users shall be able to add a new Todo item to a specified List.,"['listId', 'title']","['listId:any', 'title:non-empty string']",['list exists'],['add todo item to list'],['todo item appears in list']
REQ-TODO-002,Todo Validation,The system shall trim leading and trailing whitespace from a Todo item title before saving it during creation or editing.,['title'],['title:string'],['title has leading/trailing whitespace'],['trim whitespace and save'],['saved title has no leading/trailing whitespace']
REQ-TODO-003,Todo Validation,The system shall reject a Todo item title that is empty or contains only whitespace after trimming during creation or editing.,['title'],['title:empty or whitespace-only string'],['title after trimming is empty'],['reject creation/editing'],['todo item not created/updated']
REQ-TODO-004,Todo Validation,The system shall reject a Todo item title longer than 100 characters during creation or editing.,['title'],['title:string length > 100'],['title length > 100'],['reject creation/editing'],['todo item not created/updated']
REQ-TODO-005,Todo Completion,Users shall be able to toggle a Todo item between active and completed status.,['todoId'],['todoId:any'],['todo item exists'],['toggle status'],['status changes between active and completed']
REQ-TODO-006,Todo Editing,Users shall be able to enter Todo item edit mode by double-clicking the item label.,['todoId'],['todoId:any'],['double-click on item label'],['enter edit mode'],['edit input appears with current title']
REQ-TODO-007,Todo Editing,Users shall be able to update the title of an existing Todo item.,"['todoId', 'newTitle']","['todoId:any', 'newTitle:non-empty string <=100']",['todo item exists and new title valid'],['update title'],['title updated to newTitle']
REQ-TODO-008,Todo Editing,The system shall delete a Todo item when the edited title is saved as empty after trimming.,"['todoId', 'newTitle']","['todoId:any', 'newTitle:empty or whitespace-only']",['edited title after trimming is empty'],['delete todo item'],['todo item removed from list']
REQ-TODO-009,Todo Editing,The system shall cancel editing and keep the original title when the user presses Escape.,['todoId'],['todoId:any'],['user presses Escape during editing'],['cancel editing'],['original title restored']
REQ-TODO-010,Todo Deletion,Users shall be able to delete a single Todo item.,['todoId'],['todoId:any'],['todo item exists'],['delete todo item'],['todo item removed from list']
REQ-TODO-011,Todo Bulk Update,Users shall be able to use a single control to mark all Todo items in the current List as completed or active.,"['listId', 'action']","['listId:any', 'action:markAllCompleted or markAllActive']",['list exists'],['toggle all items status'],['all items status changed accordingly']
REQ-TODO-012,Todo Filter,"Users shall be able to filter Todo items by All, Active, and Completed status.","['listId', 'filter']","['listId:any', 'filter:All,Active,Completed']",['list exists'],['apply filter'],['only items matching filter displayed']
REQ-TODO-013,Todo Cleanup,Users shall be able to clear all completed Todo items in the current List at once.,['listId'],['listId:any'],['list exists and has completed items'],['clear all completed items'],['all completed items removed from list']
REQ-TODO-014,Todo Persistence,The system shall persist Todo items so that they remain available after page reload or application restart.,['listId'],['listId:any'],['after page reload or restart'],['load persisted data'],['todo items remain as before']
REQ-TODO-015,Todo List Scope,The system shall keep Todo items isolated by List so that items from one List do not appear in another List.,"['listId1', 'listId2']","['listId1:any', 'listId2:any']",['items exist in listId1'],['view listId2'],['no items from listId1 appear in listId2']
